,frame,model,detections,avg_confidence,small_objects,runtime_s,fps_estimate
94,235,YOLOv8n,6,0.495,3,0.0691,14.47
95,235,Faster R-CNN,33,0.671,22,2.6946,0.37
96,240,YOLOv8n,6,0.53,2,0.0631,15.84
97,240,Faster R-CNN,36,0.673,24,2.4488,0.41
98,245,YOLOv8n,10,0.476,6,0.0623,16.05
99,245,Faster R-CNN,31,0.706,21,2.3971,0.42
100,250,YOLOv8n,10,0.512,6,0.0554,18.04
101,250,Faster R-CNN,35,0.668,25,2.3875,0.42
102,255,YOLOv8n,9,0.491,5,0.066,15.15
103,255,Faster R-CNN,34,0.673,23,2.4032,0.42
104,260,YOLOv8n,8,0.497,5,0.0646,15.48
105,260,Faster R-CNN,34,0.678,21,2.2818,0.44
106,265,YOLOv8n,11,0.502,7,0.0556,17.99
107,265,Faster R-CNN,34,0.676,22,2.2941,0.44
108,270,YOLOv8n,7,0.515,5,0.0617,16.21
109,270,Faster R-CNN,38,0.678,26,2.3271,0.43
110,275,YOLOv8n,10,0.469,6,0.0597,16.76
111,275,Faster R-CNN,39,0.682,30,2.1753,0.46
112,280,YOLOv8n,9,0.529,7,0.0654,15.28
113,280,Faster R-CNN,36,0.66,24,2.1754,0.46
114,285,YOLOv8n,7,0.515,3,0.052,19.24
115,285,Faster R-CNN,34,0.697,22,2.1576,0.46
116,290,YOLOv8n,7,0.495,4,0.0551,18.15
117,290,Faster R-CNN,34,0.719,23,2.2091,0.45
118,295,YOLOv8n,5,0.594,2,0.0561,17.83
119,295,Faster R-CNN,35,0.678,24,2.3075,0.43
120,300,YOLOv8n,7,0.483,3,0.0519,19.25
121,300,Faster R-CNN,33,0.672,21,2.2164,0.45
122,305,YOLOv8n,6,0.556,2,0.0604,16.57
123,305,Faster R-CNN,40,0.628,26,2.1894,0.46
124,310,YOLOv8n,8,0.552,4,0.0548,18.25
125,310,Faster R-CNN,32,0.727,21,2.2187,0.45
126,315,YOLOv8n,8,0.551,4,0.0565,17.69
127,315,Faster R-CNN,28,0.769,16,2.185,0.46
128,320,YOLOv8n,9,0.535,5,0.0554,18.05
129,320,Faster R-CNN,33,0.708,19,2.2034,0.45
130,325,YOLOv8n,9,0.531,6,0.0513,19.48
131,325,Faster R-CNN,31,0.711,18,2.2067,0.45
132,330,YOLOv8n,8,0.502,4,0.058,17.25
133,330,Faster R-CNN,28,0.765,16,2.1822,0.46
134,335,YOLOv8n,10,0.517,5,0.06,16.67
135,335,Faster R-CNN,32,0.68,20,2.1538,0.46
136,340,YOLOv8n,9,0.54,4,0.0631,15.85
137,340,Faster R-CNN,30,0.709,19,2.1723,0.46
138,345,YOLOv8n,8,0.574,4,0.074,13.51
139,345,Faster R-CNN,32,0.692,18,2.2725,0.44
140,350,YOLOv8n,9,0.524,5,0.0498,20.06
141,350,Faster R-CNN,29,0.721,17,2.1744,0.46
142,355,YOLOv8n,10,0.437,3,0.0554,18.05
143,355,Faster R-CNN,38,0.671,23,2.2176,0.45
144,360,YOLOv8n,8,0.513,2,0.0568,17.59
145,360,Faster R-CNN,38,0.653,25,2.1855,0.46
146,365,YOLOv8n,8,0.503,4,0.0597,16.76
147,365,Faster R-CNN,33,0.649,20,2.2152,0.45
148,370,YOLOv8n,8,0.538,3,0.0549,18.21
149,370,Faster R-CNN,30,0.705,15,2.2258,0.45
150,375,YOLOv8n,8,0.493,3,0.06,16.67
151,375,Faster R-CNN,33,0.693,19,2.2142,0.45
152,380,YOLOv8n,6,0.558,2,0.051,19.61
153,380,Faster R-CNN,37,0.668,25,2.1953,0.46
154,385,YOLOv8n,8,0.503,3,0.053,18.88
155,385,Faster R-CNN,40,0.662,27,2.1719,0.46
