,frame,model,detections,avg_confidence,small_objects,runtime_s,fps_estimate
113,280,Faster R-CNN,0,0,0,2.2068,0.45
114,285,YOLOv8n,0,0,0,0.0564,17.73
115,285,Faster R-CNN,0,0,0,2.2586,0.44
116,290,YOLOv8n,0,0,0,0.0527,18.97
117,290,Faster R-CNN,0,0,0,2.2081,0.45
118,295,YOLOv8n,0,0,0,0.0523,19.14
119,295,Faster R-CNN,0,0,0,2.2739,0.44
120,300,YOLOv8n,0,0,0,0.0533,18.78
121,300,Faster R-CNN,0,0,0,2.268,0.44
122,305,YOLOv8n,0,0,0,0.056,17.85
123,305,Faster R-CNN,0,0,0,2.2203,0.45
124,310,YOLOv8n,0,0,0,0.0536,18.67
125,310,Faster R-CNN,0,0,0,2.2228,0.45
126,315,YOLOv8n,0,0,0,0.0568,17.6
127,315,Faster R-CNN,0,0,0,2.1725,0.46
128,320,YOLOv8n,0,0,0,0.0564,17.73
129,320,Faster R-CNN,1,0.309,0,2.2308,0.45
130,325,YOLOv8n,1,0.342,0,0.0517,19.34
131,325,Faster R-CNN,1,0.89,0,2.2474,0.44
132,330,YOLOv8n,0,0,0,0.0549,18.23
133,330,Faster R-CNN,2,0.605,0,2.2051,0.45
134,335,YOLOv8n,0,0,0,0.0659,15.18
135,335,Faster R-CNN,1,0.932,0,2.203,0.45
136,340,YOLOv8n,0,0,0,0.0517,19.36
137,340,Faster R-CNN,1,0.903,0,2.228,0.45
138,345,YOLOv8n,1,0.549,0,0.0558,17.91
139,345,Faster R-CNN,1,0.997,0,2.1854,0.46
140,350,YOLOv8n,0,0,0,0.0524,19.07
141,350,Faster R-CNN,0,0,0,2.2747,0.44
142,355,YOLOv8n,0,0,0,0.0488,20.48
143,355,Faster R-CNN,0,0,0,2.1966,0.46
144,360,YOLOv8n,0,0,0,0.0545,18.35
145,360,Faster R-CNN,0,0,0,2.2137,0.45
146,365,YOLOv8n,0,0,0,0.0528,18.93
147,365,Faster R-CNN,0,0,0,2.1929,0.46
148,370,YOLOv8n,0,0,0,0.0566,17.68
149,370,Faster R-CNN,0,0,0,2.1606,0.46
150,375,YOLOv8n,0,0,0,0.0542,18.45
151,375,Faster R-CNN,0,0,0,2.2042,0.45
